date,open,high,low,close,volume
2021-02-05 03:00:00,36958.33,37400.0,36909.71,37366.02,2614.23721
2021-02-05 04:00:00,37366.01,37499.0,37187.81,37266.78,1902.890739
2021-02-05 05:00:00,37266.79,37350.33,36995.27,37065.97,1730.406065
2021-02-05 06:00:00,37065.98,37658.0,37021.8,37375.52,2965.59287
2021-02-05 07:00:00,37374.39,37727.22,37374.38,37653.98,2722.549399
2021-02-05 08:00:00,37659.64,37800.0,37392.71,37705.27,3404.586859
2021-02-05 09:00:00,37705.27,37769.85,37211.85,37251.07,2526.099044
2021-02-05 10:00:00,37251.07,37655.44,37200.0,37395.91,2315.261816
2021-02-05 11:00:00,37395.92,37733.75,37395.78,37691.32,2165.149463
2021-02-05 12:00:00,37691.32,38151.69,37527.14,37850.36,4197.957336
2021-02-05 13:00:00,37850.36,38298.0,37767.09,38272.32,3967.773058
2021-02-05 14:00:00,38272.33,38310.12,37960.73,38095.02,4108.056943
2021-02-05 15:00:00,38095.14,38288.19,37871.42,37960.76,3833.8729
2021-02-05 16:00:00,37960.76,38163.34,37655.17,37809.55,4270.395934
2021-02-05 17:00:00,37813.19,37950.0,37733.0,37894.61,2229.581763
2021-02-05 18:00:00,37894.61,37922.44,37312.25,37406.23,2936.18453
2021-02-05 19:00:00,37405.63,37676.13,37230.0,37608.92,3067.360933
2021-02-05 20:00:00,37608.91,37790.0,37485.94,37740.39,2177.904759
2021-02-05 21:00:00,37740.4,37920.0,37656.29,37819.67,1692.320327
2021-02-05 22:00:00,37819.67,37971.61,37652.79,37784.12,1587.732812
2021-02-05 23:00:00,37782.98,38309.0,37743.81,38290.24,2246.727191
2021-02-06 00:00:00,38289.32,38879.0,38215.94,38740.92,5397.483552
2021-02-06 01:00:00,38740.92,39482.18,38275.86,38806.45,10003.946378
2021-02-06 02:00:00,38806.45,39535.36,38612.0,39382.1,5911.874527
2021-02-06 03:00:00,39383.26,39666.0,39200.0,39384.74,4116.762355
2021-02-06 04:00:00,39386.92,39386.93,38933.0,39179.56,2678.750885
2021-02-06 05:00:00,39179.56,39238.0,38600.0,39014.73,2895.912396
2021-02-06 06:00:00,39015.08,39458.37,38989.9,39267.47,2778.740634
2021-02-06 07:00:00,39267.47,39488.62,39156.16,39359.12,2344.527687
2021-02-06 08:00:00,39362.27,39699.69,39297.75,39425.02,3300.466872
2021-02-06 09:00:00,39427.0,39900.0,39400.0,39887.91,3983.375623
2021-02-06 10:00:00,39887.91,40000.0,39516.17,39998.63,4327.836156
2021-02-06 11:00:00,39998.63,40479.86,39992.64,40199.99,6837.077436
2021-02-06 12:00:00,40199.52,40445.55,39836.72,39902.49,4298.298209
2021-02-06 13:00:00,39902.5,40255.08,39900.0,40130.47,2914.837204
2021-02-06 14:00:00,40127.07,40574.85,40125.3,40268.44,3508.674711
2021-02-06 15:00:00,40268.44,40866.66,40134.8,40864.73,4850.415338
2021-02-06 16:00:00,40865.12,40955.51,40478.19,40608.76,4533.517799
2021-02-06 17:00:00,40608.77,40662.01,40163.67,40197.01,3400.926765
2021-02-06 18:00:00,40197.01,40444.44,40052.39,40276.41,3152.891872
2021-02-06 19:00:00,40276.41,40420.0,39940.44,40179.42,3188.911421
2021-02-06 20:00:00,40179.42,40179.42,39572.74,40087.4,4169.923397
2021-02-06 21:00:00,40087.4,40250.0,40026.98,40028.19,2506.702067
2021-02-06 22:00:00,40028.91,40469.19,39869.0,39992.77,2057.032105
2021-02-06 23:00:00,39992.77,40083.86,39035.33,39186.94,5598.425794
2021-02-07 00:00:00,39181.01,39611.04,38701.0,39564.17,4552.184099
2021-02-07 01:00:00,39564.16,39588.9,38500.0,38627.36,4822.672218
2021-02-07 02:00:00,38627.36,38820.0,38344.0,38747.31,4332.430976
2021-02-07 03:00:00,38747.31,38926.58,38554.63,38841.46,2453.33738
